10 Year Birthday Coin
2023 Service Medal
2024 Service Medal
AUG | Commando Company (Minimal Wear)
AUG | Contractor (Battle-Scarred)
AUG | Storm (Minimal Wear)
AWP | Capillary (Field-Tested)
Charm Detachment Pack
Desert Eagle | Trigger Discipline (Battle-Scarred)
Dual Berettas | Contractor (Field-Tested)
FAMAS | Colony (Field-Tested)
Five-SeveN | Coolant (Field-Tested)
Five-SeveN | Hybrid (Field-Tested)
Five-SeveN | Hybrid (Minimal Wear)
Five-SeveN | Scrawl (Minimal Wear)
Galil AR | Chromatic Aberration (Field-Tested)
Galil AR | Destroyer (Minimal Wear)
Global Offensive Badge
Graffiti | Jump Shot (Desert Amber)
M4A4 | Poly Mag (Well-Worn)
MAC-10 | Bronzer (Field-Tested)
MAC-10 | Sakkaku (Well-Worn)
MAG-7 | Copper Oxide (Field-Tested)
MAG-7 | Monster Call (Minimal Wear)
MAG-7 | Monster Call (Well-Worn)
MAG-7 | Rust Coat (Battle-Scarred)
MAG-7 | Rust Coat (Field-Tested)
MAG-7 | Rust Coat (Well-Worn)
MP5-SD | Lime Hex (Field-Tested)
MP5-SD | Necro Jr. (Battle-Scarred)
MP7 | Army Recon (Field-Tested)
MP7 | Short Ochre (Field-Tested)
Music Kit | Valve, CS:GO
Negev | Army Sheen (Factory New)
P250 | Facility Draft (Factory New)
P90 | Neoqueen (Minimal Wear)
SG 553 | Army Sheen (Field-Tested)
SSG 08 | Blue Spruce (Field-Tested)
SSG 08 | Turbo Peek (Field-Tested)
Sawed-Off | Amber Fade (Minimal Wear)
Sawed-Off | Spirit Board (Field-Tested)
Sealed Graffiti | Backstab (Blood Red)
Sealed Graffiti | Backstab (Shark White)
Sealed Graffiti | Eco (Brick Red)
Sealed Graffiti | Eye Spy (Monster Purple)
Sealed Graffiti | GGEZ (SWAT Blue)
Sealed Graffiti | GGWP (Bazooka Pink)
Sealed Graffiti | GTG (Desert Amber)
Sealed Graffiti | Karambit (SWAT Blue)
Sealed Graffiti | Karambit (Violent Violet)
Sealed Graffiti | King Me (Tracer Yellow)
Sealed Graffiti | Lambda (Shark White)
Sealed Graffiti | Ninja (Battle Green)
Sealed Graffiti | Ninja (Monarch Blue)
Sealed Graffiti | Piggles (Tracer Yellow)
Sealed Graffiti | QQ (Cash Green)
Sealed Graffiti | Quickdraw (Battle Green)
Sealed Graffiti | Quickdraw (Shark White)
Sealed Graffiti | Speechless (Tiger Orange)
Sealed Graffiti | Still Happy (Blood Red)
Sealed Graffiti | Still Happy (Frog Green)
Sealed Graffiti | Take Flight (Violent Violet)
Sealed Graffiti | Tilt (Blood Red)
Sealed Graffiti | Toasted (Desert Amber)
Sealed Graffiti | Worry (Wire Blue)
Sealed Graffiti | X-Axes (Brick Red)
Sealed Graffiti | X-Knives (Bazooka Pink)
StatTrak™ MP7 | Abyssal Apparition (Battle-Scarred)
StatTrak™ Music Kit | The Verkkars, EZ4ENCE
StatTrak™ Nova | Dark Sigil (Field-Tested)
StatTrak™ PP-Bizon | Runic (Battle-Scarred)
StatTrak™ SCAR-20 | Poultrygeist (Field-Tested)
StatTrak™ USP-S | Jawbreaker (Battle-Scarred)
Tec-9 | Army Mesh (Field-Tested)
Tec-9 | Fubar (Field-Tested)
Tec-9 | Urban DDPAT (Battle-Scarred)
Tec-9 | Urban DDPAT (Field-Tested)
USP-S | Check Engine (Minimal Wear)
XM1014 | Watchdog (Battle-Scarred)
★ Sport Gloves | Vice (Battle-Scarred)
★ Stiletto Knife | Doppler (Factory New)
